Team,WeightedBattingAverage,WeightedHomeRuns,WeightedRBIs,WeightedOPS,WeightedWAR
LAD,0.25116052366565955,13.640886203423968,45.02235649546828,0.7442561933534744,1.853051359516616
NYY,0.25057570262919304,15.973526745240251,56.421396192203076,0.7406752493200361,1.7760471441523118
LAA,0.2490963855421687,17.085140562248995,55.306024096385535,0.7134162650602409,2.1113654618473894
CLE,0.2596436699857752,10.203651019440493,47.910621147463246,0.7364748696064485,2.098980559506875
Mets,0.24473124618824976,11.6639560886359,43.178084976621264,0.7015785728806667,1.6959747916243142
MIA,0.2653972872026735,8.321604088853942,42.14428936504815,0.7064423039119322,1.910458030273246
CHC,0.2461334216502649,14.394587433762302,52.672975018925065,0.7223516275548827,2.4944171082513256
ARI,0.2662125673994193,11.562007465781836,52.22397345499793,0.7290219825798426,2.3735379510576524
TB,0.25331801619433203,10.981578947368419,40.9742914979757,0.7250821862348178,1.8864372469635633
STL,0.25288789237668163,10.682548579970103,46.90340059790732,0.713201793721973,2.051065022421525
TOR,0.2669934325744308,21.98007880910683,72.75744308231174,0.8104538091068302,3.496672504378284
HOU,0.2499223761624597,17.08445625355855,51.14518884038717,0.7538679066236478,1.9666729929777944
PHI,0.2474145110410095,8.932071503680337,38.701156677181906,0.6903327024185071,0.7226708727655099
BAL,0.2531334559574903,18.455753116697323,53.49908031882281,0.7402301246678928,2.174535050071531
WAS,0.2511486735445837,13.62675018422992,49.265106853352975,0.7206864406779661,1.6927044952100228
BOS,0.2700652086677369,12.214887640449438,54.41091492776886,0.7460595906902087,1.8352126805778488
MIN,0.2467969635997805,13.103164441192613,53.19663435156393,0.7035399670751784,1.0803182732760197
TEX,0.2616296585365853,13.029658536585364,58.09190243902439,0.7446507317073171,1.9416780487804883
SF,0.2693658021133525,9.654178674351584,47.640345821325646,0.7360881844380405,2.506609029779058
KC,0.2698699731903485,12.703178858674836,62.513596323247796,0.7341327077747989,2.2753159708923785
CHW,0.25072656693807993,11.760083317553494,52.07555387237266,0.6891834879757621,0.6747775042605569
COL,0.26456542810985445,15.309773828756056,53.721930533117934,0.7465026252019388,1.492084006462035
CIN,0.251242169146437,13.833202819107285,49.105520751761944,0.7080017619420517,1.8843578700078305
DET,0.27069799181126925,11.970559563267695,52.281146422304545,0.7461345291479821,1.659914213296939
SEA,0.2477199911249169,17.83004215664522,52.30374972265365,0.7279811404481917,1.7782782338584424
SD,0.24215488281250006,11.7080078125,47.8630859375,0.6849046875000001,1.0879296875000002
PIT,0.26165170249191555,12.03728362183755,53.44949591021495,0.7199438843446831,2.1853338405934943
MIL,0.2464237368922783,10.831267874165874,44.85795996186846,0.6851413250714968,0.9581029551954241
ATL,0.2567653429602888,6.2847172081829115,41.470758122743675,0.6761203369434414,1.4326113116726835
OAK,0.2494607649842271,11.345425867507887,49.8054022082019,0.6951890772870665,1.0649645110410098
